id,name,price,brand
119,Biscoito Salgadinho Presuntinho Piraquê,3.99,Piraquê
155,Salgadinho Trigo Flamin',4.79,Torcida
166,Salgadinho Milho Presunto,2.99,Elma Chips
227,Farinha Trigo Tipo,3.79,Globo
297,Salgadinho Milho Presunto,3.19,Yoki
333,Salgadinho Trigo Pimenta,1.99,Torcida
391,Farinha Milho Fina,3.69,Yoki
411,Farinha Trigo Tipo,5.49,Famiglia Venturelli
445,Salgadinho Milho Queijo,2.99,Yoki
544,Farinha Trigo Tipo,2.99,Sudoeste
550,Salgadinho Sweet Chili Doritos,9.99,Elma Chips
556,Salgadinho Trigo Pingo,6.29,Elma Chips
779,Farinha Trigo Tipo,15.99,Orquídea
790,Macarrão Trigo Grano,6.79,Divella
917,Salgadinho Milho Cebolitos,7.79,Elma Chips
927,Salgadinho Milho,5.89,Mãe Terra
982,Farinha Trigo Tipo,5.99,Renata
1040,Palitinhos Trigo Stiksy,6.29,Elma Chips
1093,Salgadinho Trigo Cebola,3.69,Torcida
1236,Salgadinho Queijo Nacho Doritos,18.5,Elma Chips
1315,Farinha Trigo Tipo,3.99,Rosa Branca
1327,Salgadinho Milho Original,7.49,Doritos
1545,Salgadinho Trigo Picanha,5.99,Elma Chips
1616,Salgadinho Milho Queijo,2.99,Elma Chips
1669,Farinha Trigo,4.09,Globo
1738,Salgadinho Trigo Bacon,5.39,Elma Chips
1761,Salgadinho Milho Queijo,4.49,Doritos
1783,Salgadinho Trigo Camarão,2.19,Torcida
1794,Salgadinho Lua Parmesão Cheetos,8.99,Elma Chips
1822,Salgadinho Milho Onda,1.99,Elma Chips
1857,Salgadinho Trigo Bacon,2.59,Elma Chips
1882,Farinha Trigo Tipo,3.39,Guth
2007,Salgadinho Milho Onda,8.99,Elma Chips
2013,Salgadinho Trigo Churrasco,3.79,Torcida
2115,Snack Trigo Peito,2.79,Crocantíssimo
2128,Salgadinho Doritos Flamin' Hot,6.69,Doritos
2198,Salgadinho Trigo Pastel,2.79,Torcida
2222,Salgadinho Milho Cebolitos,5.39,Elma Chips
2235,Farinha Trigo Tipo,18.99,Roseflor
2279,Salgadinho Trigo Picanha,2.59,Elma Chips
2359,Farinha Trigo,4.29,Confiare
2383,Salgadinho Milho Presunto,11.5,Elma Chips
2493,Farinha Milho Flocão,3.29,Kisabor
2495,Snack Trigo Salaminho,2.79,Crocantíssimo
2601,Snack Trigo Churrasco,2.79,Crocantíssimo
2624,Salgadinho Milho Lua,2.99,Elma Chips
2638,Farinha Trigo Integral,3.99,Nordeste
3113,Trigo Kibe Caldo,4.19,Caldo Bom
3241,Salgadinho Queijo Nacho Doritos,9.89,Elma Chips
3249,Farinha Trigo Tipo,3.69,Orquídea
3264,Salgadinho Milho Presunto,2.19,Elma Chips
3283,Salgadinho Trigo Sabor,3.79,Torcida
3336,Farinha Trigo Tipo,3.29,Maria Inês
3403,Farinha Milho Flocos,3.69,Yoki
3446,Salgadinho Trigo Queijo,3.69,Torcida
3479,Salgadinho Mix Queijos,7.49,Elma Chips
3534,Salgadinho Milho Concha,6.49,Yoki
3601,Salgadinho Milho Queijo,3.19,Doritos
3816,Salgadinho Milho Lua,6.49,Yoki
3825,Salgadinho Trigo Pingo,6.29,Elma Chips
3842,Salgadinho Sortido Piraquê Pacote,6.09,Piraquê
3888,Farinha Trigo Integral,4.49,Sentir Bem
3894,Salgadinho Milho Presunto,3.39,Romanato
4153,Farinha Milho Amarela,5.59,Yoki
4251,Salgadinho Bacon Romanato Pacote,3.99,Romanato
4382,Semolina Trigo Tipo,8.69,Famiglia Venturelli
4408,Macarrão Trigo Grano,6.79,Divella
4421,Palitinhos Trigo Stiksy,2.59,Elma Chips
4431,Salgadinho Milho Conchinha,3.19,Yoki
4503,Salgadinho Onda Requeijão Cheetos,11.5,Elma Chips
4552,Salgadinho Milho,5.59,Mãe Terra
4567,Trigo Kibe Yoki,5.59,Yoki
4587,Biscoito Salgadinho Gergelim,3.99,Piraquê
4618,Biscoito Salgadinho Queijinho Piraquê,3.99,Piraquê
4633,Salgadinho Mix Queijos,2.99,Elma Chips
4769,Farinha Milho Branca,8.59,Caldo Bom
4904,Farinha Trigo Integral,10.99,Mãe Terra
4950,Salgadinho Tubo Queijo Cheddar,3.19,Elma Chips
