id,name,price,brand
18,Molho Tomate,11.9,Pomarola
21,Tomate Perinha Orgânico,9.99,Sentir Bem
43,Molho Alho Kenko,2.99,Kenko
56,Molho Soja Aji,2.89,Aji no Shoyu
129,Molho Tomate Parmegiana,4.09,Pomarola
131,Molho Salada Parmesão,5.19,Kisabor
156,Molho Tomate,6.89,Sacciali
216,Molho Salada Caseiro,5.19,Kisabor
258,Frango Molho,7.99,Sadia
348,Molho Barbecue Sabores Cepêra,12.99,Sabores Cepêra
459,Fettuccine Molho Bolonhesa,11.99,Perdigão
461,Polpa Tomate Quero,2.89,Quero
516,Tomate Sweet Grape Mallmann,7.49,Mallmann
554,Tomate Pelado Cubos,5.49,Confiare
573,Molho Especial Yakissoba,13.99,Sakura
579,Molho Tomate sabor,2.29,Tarantella
614,Molho Shoyu Picante Karui,6.99,Karui
632,Molho Tomate Tradicional,1.79,Predilecta
648,Molho Shoyo Tradicional Karui,16.5,Karui
660,Molho Tomate Tarantella,3.79,Tarantella
674,Molho Sushi,10.9,Karui
741,Molho Tomate Tradicional,4.49,Pomarola
754,Molho Pimenta Malagueta,10.99,Kisabor
766,Molho Barbecue Shoyu,15.99,Hellmann's
807,Molho Soja Light,9.49,Sakura
830,Molho Base,20.99,Cirio 1856
841,Molho Madeira Carne,13.99,Cepêra
879,Molho Inglês Worcestershire Kenko,2.79,Kenko
899,Molho Pimenta-Verde Suave,5.59,Knorr
915,Molho Agridoce Cebola,19.5,Queensberry
931,Tomate Sweet Grape Trebeschi,0.26,Trebeschi
1060,Tomate Orgânico,11.99,Sentir Bem
1167,Molho Shoyu Tradicional Sakura,12.5,Sakura
1197,Molho Pimenta Extraforte,8.99,Cepêra
1337,Tomate Golden Grape Orgânico,10.9,Sentir Bem
1339,Molho Tomate,22.99,Barilla
1374,Fusilli Tomate Muçarela,10.99,Knorr
1379,Molho Tomate Pomarola,2.29,Pomarola
1383,Molho Agridoce Alho Caramelizado,19.9,Queensberry
1398,Molho Tomate Encorpado,3.99,Sacciali
1407,Molho Shoyu Tradicional Karui,15.5,Karui
1442,Molho Shoyu Kitano Frasco,4.19,Kitano
1473,Molho Original Billy &,5.69,Billy & Jack
1475,Molho Barbecue Churrasco Salsaretti,14.5,Salsaretti
1517,Atum Ralado Molho,4.75,88
1520,Molho Tomate Manjericão,2.89,Cepêra
1531,Tomate Mel,5.99,Big Hiper
1535,Berinjela Tomate Seco,9.89,Roça
1640,Molho Pimenta Mexicana,13.99,Sabores Cepêra
1752,Lasanha Congelada Molho,12.99,Aurora
1782,Molho Barbecue Heinz 538g,23.5,Heinz
1793,Molho Barbecue Hemmer Squeeze,9.99,Hemmer
1799,Molho Base,26.99,Cirio 1856
1811,Molho Shoyu Tradicional Sakura,16.9,Sakura
1835,Molho Pimenta Original,10.5,Bravo
1856,Molho Tomate,14.99,Pomarola
1871,Tomate Pelado Orgânico La,9.99,La Pastina
1998,Molho Tomate Manjericão,3.39,Pomarola
2060,Molho Pimenta-Vermelha Extraforte,13.99,Sabores Cepêra
2073,Molho Tomate Cajamar Sachê,1.19,Cajamar
2162,Molho Salada Vinagrete,9.89,Liza
2185,Tomate Cereja Sentir Bem,19.9,Sentir Bem
2201,Molho Tomate Azeitona,3.79,Pomarola
2212,Molho Tomate,4.09,Pomarola
2219,Extrato Tomate Oderich,3.49,Oderich
2240,Molho Tomate Passata,15.99,La Pastina
2255,Molho Tomate Encorpado,2.89,Sacciali
2284,Molho Tomate Orgânico,15.9,Jasmine
2308,Molho Salada Caseiro,9.69,Castelo
2354,Molho Inglês Worcestershire Kitano,3.99,Kitano
2385,Molho Tomate Heinz,2.79,Heinz
2477,Molho Salada Limão,9.19,Hellmann's
2525,Molho Salada Italiano,5.19,Kisabor
2526,Molho TomateTradicional Oderich,1.79,Oderich
2547,Molho Salada Caesar,8.99,Hellmann's
2684,Molho Barbecue Pramesa Frasco,6.79,Pramesa
2690,Molho Tomate Tradicional,2.09,Salsaretti
2713,Extrato Tomate,3.09,Elefante
2757,Extrato Tomate Cebola,6.39,Elefante
2807,Molho Tomate Oliva,10.5,Salsaretti
2815,Molho Tarê Especial Karui,12.5,Karui
2847,Lasanha Congelada Molho,12.99,Aurora
2887,Molho Tomate Pizza,3.59,Salsaretti
2905,Molho Salada Limão,5.19,Kisabor
2938,Molho Instantâneo Royal Curry,31.99,Karui
3009,Molho Tipo Maionese Vegana,7.99,Hellmann's
3062,Passata Tomate,16.9,Top Chef
3065,Extrato Tomate Elefante,3.05,Elefante
3076,Tomate Salada Orgânico,10.99,Big Hiper
3137,Molho Soja Aji,16.9,Aji no Shoyu
3219,Molho Tomate Bolonhesa,3.79,Pomarola
3233,Molho Pimenta-Vermelha Kisabor,2.89,Kisabor
3246,Molho Shoyu Cepêra Squeeze,10.99,Sabores Cepêra
3263,Molho Três Queijos Predilecta,3.39,Predilecta
3278,Molho Shoyu Tradicional Karui,6.79,Karui
3344,Molho Tomate Tradicional,1.19,Stella D'oro
3351,Molho Tomate,3.59,Salsaretti
3368,Tomate Pelado Cubos,5.69,La Pastina
3394,Tomate Cereja Italiano Top,8.99,Top Chef
3443,Molho Pimenta Kenko,3.05,Kenko
3472,Molho Cheddar Polenghi Club,14.5,Polenghi
3478,Molho Tomate Pizza,4.09,Pomarola
3481,Molho Tomate Passata,16.99,Divella
3524,Extrato Tomate Concentrado,4.69,Salsaretti
3547,Extrato Tomate Cajamar,2.89,Cajamar
3646,Molho Alho Kisabor,3.59,Kisabor
3661,Pernil Desfiado Molho,19.99,Seara
3708,Molho Tarê Sakura Squeeze,6.59,Sakura
3800,Penne Molho Sugo,11.99,Perdigão
3823,Molho Tomate Napoletana,22.99,Barilla
3836,Molho Tomate Manjericão,6.29,Pomarola
3886,Molho Tomate Pomodoro,20.99,Barilla
3899,Molho Tomate Arrabiata,3.99,Sacciali
3952,Tomate Pelado La Pastina,8.49,La Pastina
3982,Molho Tomate Ervas,6.89,Sacciali
4011,Molho Alfredo Sabores Cepêra,18.5,Cepêra
4027,Extrato Tomate Elefante,2.69,Elefante
4138,Molho Temaki Karui,11.9,Karui
4152,Molho Teriyaki Especial Karui,19.5,Karui
4182,Molho Shoyu Kisabor Frasco,3.19,Kisabor
4213,Tomate Caqui Orgânico Bandeja,9.9,Sentir Bem
4314,Molho Hambúrguer American,10.9,Cepêra
4354,Passata Tomate Rústica,11.99,Top Chef
4388,Tomate Sweet Grape Orgânico,10.9,Sentir Bem
4400,Passata Tomate Rústica,7.95,Sacciali
4420,Molho Salada Rosé,9.29,Hellmann's
4454,Extrato Tomate Extratomato,1.79,Elefante
4461,Penne Molho Parisiense,7.96,Swift
4467,Molho Tomate,3.29,Salsaretti
4556,Molho Tomate,16.5,Jasmine
4572,Molho Shoyu Tradicional Satis!,2.99,Satis!
4600,Molho Tomate Original,8.79,Sabores Cepêra
4611,Molho Pimenta Habanero,9.79,Bravo
4630,Molho Pimenta Mexicana,7.49,Cepêra
4643,Molho Salada Queijos,6.59,Liza
4663,Molho Inglês Worcestershire Cepêra,3.39,Cepêra
4670,Extrato Tomate Quero,3.79,Quero
4685,"Wrap Queijo, Tomate",15.99,Sadia
4711,Polpa Tomate Passata,20.9,Jasmine
4724,Extrato Tomate Elefante,5.49,Elefante
4730,Tomate Pelado Inteiro Italiano,5.99,Top Chef
4771,Molho Soja Aji,14.9,Aji no Shoyu
4825,Tomate Caqui Orgânico Bandeja,11.9,Sentir Bem
4869,Molho Alho Kitano,4.19,Kitano
4921,Molho Salada Caesar,6.59,Liza
4934,Extrato Tomate Arisco,3.19,Arisco
4965,Molho Barbecue Mel,13.5,Sabores Cepêra
