id,name,price,brand
108,Suco Integral Uva,28.9,Casa Madeira
162,Biscoito Integral Limão &,2.89,Nestlé
165,Suco Integral Maçã,10.9,Campo Largo
175,Leite Integral Qualitem Zero,1.29,CCGL
184,Suco Integral Uva Tinto,9.52,Sufresh
238,Leite Integral Terra Viva,3.59,Terra Viva
241,Biscoito Cream Cracker Integral,7.69,Marilan
254,Pão Integral Castanhas Brasileiras,9.45,Panco
268,Pão Forma Integral,6.99,Wickbold
307,Leite Integral Lider Caixa,4.09,Lider
335,Torrada Integral Bauducco Pacote,6.19,Bauducco
341,Chia Grãos Integral,11.5,Jasmine
420,Pão Integral Freekeh,9.99,Wickbold
495,Aveia Flocos Integral,3.99,Sentir Bem
527,Biscoito Cookie Integral Ameixa,8.19,Jasmine
534,Pizza Integral Peito,15.99,Seara
563,Biscoito Integral Leite &,2.89,Nestlé
571,Iogurte Integral Vitamina,2.99,Danone
607,Suco Integral Laranja,14.99,Campo Largo
618,Pão Forma Integral,13.5,Plusvita
619,Torrada Integral Bauducco Pacote,3.19,Bauducco
670,Pão Integral Zero Açúcar,8.79,Panco
690,Pack Biscoito Integral Tradicional,3.49,Club Social
707,Aveia Integral Multigrãos Sentir,4.99,Sentir Bem
782,Torrada Integral Isabela Pacote,3.29,Isabela
829,Iogurte Integral Mix,3.59,Paulista
853,Pão Integral Castanha,8.29,Kim
873,Biscoito Cream Cracker Integral,3.39,Bauducco
884,Pack Biscoito Integral Recheio,3.79,Club Social
1098,Suco Integral Uva,16.5,Do Bem
1141,Biscoito Integral Maçã &,3.39,Belvita
1148,Pão Integral Estar Leve,6.89,Wickbold
1161,Iogurte Integral Ameixa Vigor,2.49,Vigor
1217,Pão Integral 14 Grãos,11.5,Nutrella
1230,Iogurte Integral Fazenda Bela,1.99,Fazenda Bela Vista
1309,Pão Forma Integral,8.09,Bauducco
1314,Biscoito Salgado Integral Mignon,1.79,Zezé
1352,Biscoito Integral Maçã,3.59,Bauducco
1358,Massa Tortilha Integral Kim,5.49,Kim
1382,Mistura Pão Integral,6.99,Fleischmann
1387,"Pão Integral Maçã, Canela",11.99,Wickbold
1401,Iogurte Integral Banana,2.69,Danoninho
1439,Biscoito Integral Morango &,2.89,Nestlé
1470,Pão Integral Macadâmia,8.29,Kim
1518,Suco Laranja Integral,21.99,Petry
1556,Mistura Pão Integral,7.79,Famiglia Venturelli
1607,Pão Integral Semente,7.99,Nutrella
1612,Pão Sírio Médio Integral,8.89,Pita Bread
1647,Pão Integral 12 Grãos,11.5,Pullman
1648,Suco Laranja Integral,9.79,Petry
1654,Leite Integral Danone Caixa,4.39,Danone
1751,Leite Integral Leitíssimo Caixa,5.99,Leitíssimo
1790,Pizza Integral Vegetariana Seara,19.5,Seara
1866,Quinoa Grãos Integral,26.9,Mãe Terra
1895,Pão Integral Castanha-do-Pará,11.99,Wickbold
1917,Pão Integral Girassol,8.89,Wickbold
1935,Iogurte Natural Integral Activia,2.29,Danone
1941,Pack Biscoito Integral Marilan,3.89,Marilan
2017,Biscoito Integral Leite,3.59,Bauducco
2045,Suco Integral Laranja,2.49,Do Bem
2059,Leite Integral Piá Caixa,3.99,Piá
2062,Suco Laranja Integral,8.99,Life
2075,Suco Integral Caju,19.99,Mitto
2132,Cereal Matinal Integral 4,5.49,Nestlé
2141,Biscoito Integral Laranja &,2.89,Nestlé
2146,Farelo Aveia Integral,2.99,Sentir Bem
2161,Suco Integral Laranja,19.99,Natural One
2206,Snack Trigo Integral,2.79,Crocantíssimo
2231,Biscoito Integral Banana,5.89,Linea
2268,Iogurte Integral Frutas Vermelhas,2.99,Danone
2286,Biscoito Cookie Integral Castanhas,8.99,Jasmine
2320,Pão Forma Integral,8.49,Plusvita
2339,Biscoito Cookie Integral Cacau,4.69,Marilan
2364,Biscoito Integral Coco Nesfit,2.89,Nestlé
2412,Pão Tortilha Integral Rap,9.89,Rap 10
2413,Suco Laranja Integral,18.99,Natural One
2417,Farinha Aveia Integral,2.79,Sentir Bem
2443,Pão Bisnaguinha Integral Turma,4.69,Wickbold
2463,Leite Integral Ninho Forti+,4.39,Nestlé
2515,Arroz Integral Cozido,5.99,Vapza
2559,Pão Forma Integral,7.49,Visconti
2594,Suco Integral Uva,15.99,Campo Largo
2598,Pão Forma Integral,14.99,Pullman
2674,Suco Integral Maçã,12.99,Campo Largo
2744,"Leite Fermentado Integral Aveia,",14.99,Activia
2754,Açúcar Mascavo Integral Jasmine,21.9,Jasmine
2810,Pão Forma Integral,8.49,Confiare
2816,Suco Integral Uva Tinto,7.39,Garibaldi
2850,Suco Integral Tangerina,19.99,Mitto
2856,Leite Integral Zero Lactose,5.39,Itambé
2862,Pão Tortilha Integral Chia,9.59,Rap 10
2898,Suco Integral Uva,19.99,Mitto
2929,"Biscoito Integral Cacau, Aveia",3.69,Bauducco
2942,Biscoito Cookie Integral Cacau,5.99,Jasmine
2946,Pão Forma Integral,6.49,Wickbold
2967,Linhaça Dourada Integral Jasmine,10.9,Jasmine
3000,Biscoito Cream Cracker Integral,5.99,Vitarella
3010,Suco Integral Limão,12.99,Xandô
3039,Suco Integral Maçã,15.99,Xandô
3091,Pão Integral Teff,9.99,Wickbold
3093,Mistura Bolo Integral,12.99,Magro
3119,Iogurte Natural Integral Aveia,2.29,Danone
3184,Biscoito Cookie Integral Castanha-do-Pará,5.99,Jasmine
3194,Arroz 7 Cereais Integral,22.99,Ráris
3232,Arroz 7 Grãos Integral,12.99,Ráris
3254,Suco Integral Laranja,10.99,Natural One
3255,Pão Integral Castanha,7.99,Charlotte
3364,Pão Integral Castanha &,10.99,Seven Boys
3374,Bolo Integral Maçã,11.49,Panco
3393,Pasta Amendoim Integral,23.99,Guimarães
3410,Mini Pão Francês Integral,6.99,Brico Bread
3412,Suco Uva Integral,14.99,Da Serra
3432,Pao Artesano Integral 500g,9.49,Plusvita
3486,Pão Integral 12 Grãos,7.99,Plusvita
3490,Água Coco Integral,6.79,Confiare
3505,Torrada Integral Adria Pacote,2.79,Adria
3529,"Leite Fermentado Integral Linhaça,",4.99,Activia
3568,Pão Integral Grãos &,7.99,Plusvita
3588,Pão Integral Castanha-do-Pará,8.89,Panco
3618,Pasta Amendoim Integral,10.9,Pic-Me
3623,"Biscoito Integral Banana, Aveia",2.39,Nestlé
3657,Pão Integral Grãos,8.99,Pullman
3690,Arroz Integral Namorado 1kg,4.49,Namorado
3749,Pão Integral Pullman Pacote,11.5,Pullman
3768,Mistura Bolo Integral,13.5,Magro
3787,Pão Forma Integral,6.99,Panco
3827,Leite Integral Tirol Caixa,3.89,Tirol
3847,Leite Integral Paulista Garrafa,4.49,Paulista
3907,Pão Integral 12 Grãos,8.99,Pullman
3921,Muffin 100% Integral Laranja,2.19,Bauducco
3927,Biscoito Integral Orquídea Pacote,4.99,Orquídea
3933,Pão Integral Castanha-do-Pará &,8.29,Nutrella
3939,Leite Integral Latvida Caixa,3.39,Latvida
3975,Pão Integral Casca,12.99,Wickbold
3989,Biscoito Integral Cacau &,3.29,Belvita
4054,Suco Integral Uva,12.5,Campo Largo
4094,Biscoito Cookie Integral Cappuccino,6.99,Jasmine
4117,Biscoito Integral Avelã &,3.39,Belvita
4130,Cereal Matinal Integral Maçã,8.79,Nestlé
4217,"Iogurte Integral Cenoura, Laranja",2.49,Vigor
4283,Suco Integral Uva,16.9,Sufresh
4315,Biscoito Cookie Integral Amêndoas,6.99,Jasmine
4336,Pão Forma Integral,8.49,Plusvita
4391,Muffin Integral Banana,1.59,Bauducco
4395,Suco Integral Laranja,8.29,Natural One
4409,Biscoito Integral Cacau,5.79,Linea
4423,Cereal Matinal Integral Mel,10.5,Nestlé
4469,Biscoito Integral Cacau,3.59,Bauducco
4502,Cereal Matinal Integral Nestlé,8.99,Nestlé
4554,Arroz Integral Quinoa,7.99,Tio João
4570,Biscoito Integral Gergelim Zero,3.69,Nestlé
4586,Água Coco Integral,9.99,Bonafont Água Leve
4629,Iogurte Integral Vitamina,9.99,Danone
4631,Biscoito Integral Cacau &,3.59,Nestlé
4677,Biscoito Gergelim Integral,3.59,Marilan
4686,Iogurte Integral Mel Vigor,2.39,Vigor
4688,Suco Integral Uva,4.05,Campo Largo
4765,Biscoito Cookie Integral Avelã,5.99,Jasmine
4792,Biscoito Integral Cacau &,2.39,Nestlé
4803,Mistura Bolo Integral,13.5,Magro
4817,Snack Integral Salt &,5.99,Belive Be Free!
4822,Quinoa Flocos Integral,22.5,Mãe Terra
4843,Cereal Matinal Integral Snow,5.49,Nestlé
4892,Pão Bisnaguinha Integral Panco,7.29,Panco
4918,Leite Integral Kids Dez,5.79,Itambé
4935,Linhaça Integral Jasmine,4.99,Jasmine
4951,Biscoito Integral Aveia &,2.89,Nestlé
4981,Arroz Uncle Bens Integral,11.99,Uncle Bens
4993,Iogurte Integral Vitamina,10.99,Danone
