id,name,price,brand
48,Bebida Láctea UHT Morango,1.99,Nestlé
71,Bebida Láctea Fermentada Morango,4.49,Vigor
148,Barra Cereal Morango,8.39,Linea
177,Iogurte Doce Leite,8.49,Yopro
208,Goma Mascar Morango,10.9,Mentos
222,Iogurte Grego Calda Fondue,2.89,Danone
338,Iogurte Banana Zero Lactose,6.69,Verde Campo
354,Iogurte Parcialmente Desnatado Morango,3.59,Nestlé
414,Iogurte Parcialmente Desnatado Vitamina,3.19,Vigor
456,Polpa Fruta Morango,3.49,Polpanorte
485,"Iogurte Morango, Aveia",3.39,Nestlé
486,"Açaí Morango Pote 1,02Kg",26.9,Polpanorte
529,Geleia Morango Turma,7.99,Purifruti
551,Biscoito Baunilha Recheio Morango,2.39,Orquídea
595,Sorvete Iogurte Natural,24.99,Vêneto
609,Bebida Láctea Morango,4.99,Piá
647,Geleia Morango Homemade,20.49,Homemade
659,Iogurte Parcialmente Desnatado Morango,2.49,Vigor
700,Bebida Láctea Fermentada Morango,4.49,Vigor
713,Biscoito Recheado Mousse Morango,2.49,Isabela
718,Iogurte Natural Nestlé Frasco,2.39,Nestlé
758,Polpa Congelada Morango,2.99,Sentir Bem
763,Iogurte Natural Desnatado Danone,2.69,Danone
787,Geleia Morango Zero,19.99,Linea
793,Iogurte Grego Calda Blueberry,2.89,Danone
796,"Iogurte Nesfit Morango, Aveia",14.5,Nestlé
806,Iogurte Grego Tradicional Nestlé,10.5,Nestlé
840,Polpa Congelada Morango,11.5,Sentir Bem
851,Biscoito Wafer Recheio Morango,1.39,Isabela
894,Iogurte Morango Piá,9.39,Piá
919,Iogurte Morango Zero Lactose,3.05,Verde Campo
928,Iogurte Parcialmente Desnatado Morango,12.99,Nestlé
956,Iogurte Grego Tradicional Nestlé,10.99,Nestlé
1010,Iogurte Morango Zero Lactose,7.69,Verde Campo
1032,Isotônico Morango Maracujá,3.99,Gatorade
1052,Geléia Morango 100%,13.99,Top Chef
1062,Bala Gelatina Morango,7.69,Haribo
1075,Wine Cooler Morango Red,17.9,Canção
1080,Iogurte Parcialmente Desnatado Vitamina,2.59,Nestlé
1123,Iogurte Parcialmente Desnatado Coco,6.29,Danone
1151,Iogurte Grego Frutas Nestlé,2.49,Nestlé
1158,Iogurte Morango Vitaminas,2.89,Paulista
1229,Iogurte Baunilha Triplo Zero,2.49,Nestlé
1244,Iogurte Morango Zero Lactose,8.49,Yopro
1253,Bala Regaliz Morango Recheio,3.99,Dori
1321,Iogurte Frutas Nestlé Frasco,12.99,Nestlé
1386,Pão Iogurte Cenoura Estar,7.29,Wickbold
1390,"Iogurte Parcialmente Desnatado Cenoura,",2.59,Nestlé
1395,Biscoito Recheio Morango Tortuguita,2.29,Tortuguita
1414,Gelato Italiano Iogurte Grego,27.99,Paviloche
1421,Iogurte Morango Zero Lactose,2.49,Nestlé
1456,Iogurte Integral Morango 3,3.39,Vigor
1461,Iogurte Parcialmente Desnatado Morango,2.19,Nestlé
1476,Biscoito Recheio Morango Bono,2.29,Nestlé
1528,Iogurte Grego Vigor Pote,2.99,Vigor
1534,Iogurte Morango Zero,7.39,Corpus
1539,Iogurte Morango Zero Lactose,9.99,Vigor
