id,name,price,brand
171,Erva-Mate Chimarrão Pura Folha,15.5,Madrugada
334,Composto Lácteo Ninho Nestlé,40.99,Nestlé
410,Erva Mate Tradicional Ximango,9.99,Ximango
489,Erva-Mate Chimarrão Tradicional Barão,10.99,Barão de Cotegipe
584,Composto Lácteo Zero Lactose,23.5,Nestlé
608,Composto Lácteo Ninho Nestlé,30.5,Nestlé
724,Composto Lácteo Supreme Neslac,63.99,Nestlé
936,Erva-Mate Chimarrão Picolo Pacote,8.39,Picolo
1070,Composto Lácteo Comfor Neslac,40.99,Nestlé
1364,Erva-Mate Moída Grossa Vier,13.99,Vier
1785,Chá Erva-Doce-Nacional Dr. Oetker,10.99,Dr. Oetker
1891,Erva-Mate Chimarrão Açúcar,13.99,Elacy
1945,Erva-Mate Chimarrão Moída Grossa,8.99,Madrugada
1980,Chá Mate Tostado Original,19.9,Leão
1984,Chá Mate Laranja Matte,5.29,Matte Leão
2229,Chá Mate Limão Matte,6.09,Matte Leão
2375,Erva-Mate Chimarrão Vácuo,13.99,Barão de Cotegipe
2386,Chá Mate Pêssego Cini,4.69,Cini
2439,Chá Mate Pêssego Matte,4.79,Matte Leão
2442,Chá Mate Limão Matte,5.29,Matte Leão
2524,Erva Mate Menta Ximango,10.5,Ximango
2569,Chá Matte Limão Matte,2.89,Leão
2614,Chá Limão,6.69,Leão
2777,Erva-Mate Chimarrão Vácuo,15.5,Barão de Cotegipe
2826,Erva-Mate Chimarrão Moída Grossa,10.99,Barão de Cotegipe
2883,Composto Erva-Mate,8.99,Madrugada
2901,Chá Mate Pressurizado,16.9,Greenpeople
3002,Erva-Mate Chimarrão Tradicional Ximango,12.99,Ximango
3018,Chá Mate Limão Cini,4.69,Cini
3074,Composto Lácteo Ninho Nestlé,15.49,Nestlé
3123,Composto Lácteo Baunilha Nutren,49.99,Nestlé
3181,Composto Lácteo Baunilha Nutren,70.99,Nestlé
3392,Chá Mate Original Matte,5.59,Matte Leão
3431,Erva-Mate Chimarrão Vácuo,12.5,Cambona
3433,Erva-Mate Chimarrão Tradicional Ximango,5.99,Ximango
3556,Chá Mate Pêssego Matte,5.29,Matte Leão
3590,Composto Erva-Mate,8.19,Barão de Cotegipe
3622,Erva-Mate Chimarrão Moída Grossa,12.99,Ximango
3655,Composto Erva-Mate,8.99,Madrugada
3670,Erva-Mate Chimarrão Pura Folha,7.79,Madrugada
3936,Chá Matte Limão Ice,2.89,Leão
3999,Composto Lácteo Chocolate Nutren,49.99,Nestlé
4015,Chá Mate Limão Matte,6.79,Matte Leão
4292,Chá Erva-Doce Twinings Infusions,13.5,Twinings
4416,Composto Lácteo Sabor,70.99,Nestlé
4733,Chá Erva-Doce Barão,4.99,Barão de Cotegipe
4829,Erva-Mate Chimarrão Tradicional Madrugada,13.9,Madrugada
