casa
Álcool líquido
Carvão
Fósforos
Lâmpadas
Pilhas AA
Pilhas AAA
Pilhas Grandes
Velas
Acendedor de fogão
Filme plástico
Filtro para café
Guardanapo
Palitos
Papel alumínio
Sacos de congelamento
Toalha de papel
Água oxigenada
Algodão
Curativo
Esparadrapo
Gaze
Kleenex
