legumes
Abóbora
Abobrinha
Alho poro
Azeitona preta
Azeitona verde
Azeitona descaroçada
Azeitona recheada
Batata bolinha
Batata inglesa
Batata baroa
Batata doce
Beterraba
Berinjela
Brócolis
Brócolis japonês
Cará
Cebola grande
Cebola pequena
Cebola roxa
Cenoura
Chuchu
Cogumelo paris
Couve-flor
Ervilha torta
Inhame
Jiló
Vagem
Mandioca
Milho verde em espiga
Milho verde enlatado
Moranga
Pepino
Pepino japonês
Pimentão amarelo
Pimentão vermelho
Pimentão verde
Quiabo
Rabanete
Salsão
Shimeji
Shitake
Tomate
Tomate grande
Tomate cereja
Tomate seco
Tomate sweet grape
