papelaria
Papel A4
Lapiseira
Caneta preta
Caneta azul
Caneta colorida
Lápis de cor
Canetinha
Clipes
Grampeador
Grampo
Régua grande
Régua pequena
Tesoura
CD regravável
Fita crepe
Fita dupla face
Fita transparente
