frutas
Abacaxi
Acerola
Ameixa preta
Ameixa vermelha
Amora
Banana
Caju
Cana
Caqui
Cereja
Coco marrom
Coco verde
Figo
Goiaba branca
Goiaba vermelha
Kiwi
Laranja
Lima
Limão
Maçã verde
Maçã vermelha
Mamão
Manga
Maracujá
Melão
Melancia
Mexerica
Morango
Nectarina
Pera
Pêssego
Romã
Uva rubi
Uva verde
